image,plate,bbox
CarLongPlateGen2619.jpg,51A-720.78,"[125, 176, 291, 235]"
CarLongPlateGen2635.jpg,51A.012.04,"[209, 200, 333, 268]"
CarLongPlateGen2663.jpg,51A-897.14,"[200, 208, 340, 265]"
CarLongPlateGen267.jpg,51F-59011,"[224, 155, 283, 180]"
CarLongPlateGen269.jpg,52P-5688,"[130, 130, 191, 153]"
CarLongPlateGen2705.jpg,51F-161.59,"[141, 129, 308, 174]"
CarLongPlateGen2721.jpg,51F-491.42,"[319, 234, 426, 275]"
CarLongPlateGen2727.jpg,51G-100.96,"[196, 81, 309, 139]"
CarLongPlateGen2745.jpg,51A.720.78,"[213, 115, 341, 164]"
CarLongPlateGen2765.jpg,51F-882.70,"[247, 233, 366, 272]"
CarLongPlateGen2779.jpg,51F-446.14,"[254, 202, 363, 237]"
CarLongPlateGen2791.jpg,60A-359.81,"[296, 194, 390, 226]"
CarLongPlateGen2799.jpg,51F-212.55,"[136, 171, 277, 254]"
CarLongPlateGen2813.jpg,51F-778.36,"[108, 19, 241, 69]"
CarLongPlateGen2839.jpg,51F-598.81,"[135, 182, 275, 225]"
CarLongPlateGen285.jpg,484-061.77,"[235, 195, 281, 216]"
CarLongPlateGen2865.jpg,51F44614,"[246, 98, 359, 143]"
CarLongPlateGen2883.jpg,51G-205.36,"[231, 216, 357, 264]"
CarLongPlateGen2899.jpg,51F-212.55,"[221, 171, 345, 225]"
CarLongPlateGen2903.jpg,51F-278.09,"[225, 137, 346, 199]"
CarLongPlateGen291.jpg,51837302,"[202, 173, 257, 195]"
CarLongPlateGen2927.jpg,510-22807,"[122, 152, 238, 225]"
CarLongPlateGen293.jpg,510-505.53,"[118, 140, 180, 164]"
CarLongPlateGen2949.jpg,51A96141,"[163, 211, 282, 276]"
CarLongPlateGen297.jpg,(51842340,"[253, 146, 303, 165]"
CarLongPlateGen2983.jpg,51F-882.70,"[321, 175, 411, 242]"
CarLongPlateGen3013.jpg,51F-22261,"[274, 247, 367, 300]"
CarLongPlateGen3041.jpg,51A-05227,"[229, 156, 326, 216]"
CarLongPlateGen3055.jpg,F-76354,"[217, 168, 324, 235]"
CarLongPlateGen3061.jpg,56S-4698,"[218, 151, 322, 192]"
CarLongPlateGen3093.jpg,51F-590.11,"[212, 194, 324, 246]"
CarLongPlateGen3101.jpg,5IF-207-54,"[196, 113, 300, 181]"
CarLongPlateGen3125.jpg,51A.052.27,"[149, 52, 261, 112]"
CarLongPlateGen3137.jpg,51F-617.12,"[205, 72, 322, 134]"
CarLongPlateGen3155.jpg,60A-038.68,"[193, 126, 319, 198]"
CarLongPlateGen3173.jpg,51F-590.11,"[280, 233, 377, 284]"
CarLongPlateGen3201.jpg,516-47340,"[123, 71, 235, 137]"
CarLongPlateGen3217.jpg,51F-22029,"[238, 210, 336, 263]"
CarLongPlateGen323.jpg,5IF-07973,"[222, 132, 281, 156]"
CarLongPlateGen3233.jpg,51G-42971,"[203, 183, 310, 246]"
CarLongPlateGen325.jpg,6IF-812,"[231, 129, 289, 153]"
CarLongPlateGen3265.jpg,516-61332,"[203, 190, 305, 262]"
CarLongPlateGen3283.jpg,71F-574.93,"[197, 172, 302, 225]"
CarLongPlateGen3297.jpg,51F-207.54,"[197, 143, 311, 183]"
CarLongPlateGen331.jpg,511-630-14,"[242, 144, 314, 166]"
CarLongPlateGen3339.jpg,610-102.09,"[146, 131, 263, 216]"
CarLongPlateGen3345.jpg,61F-155.85,"[142, 74, 251, 160]"
CarLongPlateGen337.jpg,51F-161.59,"[266, 148, 329, 172]"
CarLongPlateGen3401.jpg,51F-88270,"[243, 156, 348, 231]"
CarLongPlateGen3429.jpg,51A-111.22,"[232, 191, 346, 242]"
CarLongPlateGen3437.jpg,51F-22261,"[242, 120, 343, 186]"
CarLongPlateGen3455.jpg,316-216.70,"[82, 196, 201, 256]"
CarLongPlateGen3467.jpg,51A-012-04,"[156, 141, 261, 208]"
CarLongPlateGen3479.jpg,51G-21748,"[180, 213, 297, 268]"
CarLongPlateGen3541.jpg,516-513.32,"[172, 134, 301, 192]"
CarLongPlateGen3559.jpg,F49142,"[212, 169, 320, 219]"
CarLongPlateGen3569.jpg,51A-96141,"[121, 177, 232, 250]"
CarLongPlateGen3577.jpg,511-44814,"[221, 184, 322, 253]"
CarLongPlateGen3593.jpg,5IC-59323,"[245, 142, 361, 197]"
CarLongPlateGen3603.jpg,30V-3993,"[114, 207, 236, 260]"
CarLongPlateGen3623.jpg,51F-161.59,"[214, 193, 328, 260]"
CarLongPlateGen3645.jpg,51F44614,"[220, 180, 336, 242]"
CarLongPlateGen3661.jpg,51F-222.61,"[231, 170, 339, 214]"
CarLongPlateGen37.jpg,52Y-6491,"[157, 156, 211, 180]"
CarLongPlateGen3713.jpg,51G-473.40,"[224, 217, 334, 256]"
CarLongPlateGen3739.jpg,51F-079.73,"[171, 128, 300, 184]"
CarLongPlateGen375.jpg,5IA77529,"[180, 153, 241, 179]"
CarLongPlateGen3759.jpg,51F-44614,"[115, 87, 228, 162]"
CarLongPlateGen377.jpg,61F-62601,"[223, 167, 284, 189]"
CarLongPlateGen3789.jpg,FIF13251,"[253, 224, 344, 274]"
CarLongPlateGen3799.jpg,51F-77836,"[223, 232, 313, 290]"
CarLongPlateGen381.jpg,1,"[223, 89, 269, 110]"
CarLongPlateGen3847.jpg,61A-229.59,"[192, 160, 296, 199]"
CarLongPlateGen3869.jpg,60A-359.81,"[154, 163, 258, 211]"
CarLongPlateGen3879.jpg,51F-789.04,"[115, 219, 233, 276]"
CarLongPlateGen3889.jpg,29A-239.50,"[141, 156, 246, 210]"
CarLongPlateGen417.jpg,STEPTARD,"[229, 177, 276, 196]"
CarLongPlateGen437.jpg,SIEZZELLO,"[222, 128, 279, 148]"
CarLongPlateGen45.jpg,5IF-79512,"[143, 230, 207, 254]"
CarLongPlateGen465.jpg,51A-775.29,"[222, 148, 281, 173]"
CarLongPlateGen471.jpg,1,"[262, 188, 309, 208]"
CarLongPlateGen477.jpg,51G21670,"[136, 186, 196, 209]"
CarLongPlateGen487.jpg,51106448,"[224, 143, 289, 164]"
CarLongPlateGen501.jpg,869.88,"[238, 166, 294, 191]"
CarLongPlateGen515.jpg,BIARBIZE,"[261, 156, 320, 176]"
CarLongPlateGen549.jpg,162A-055167,"[247, 205, 317, 227]"
CarLongPlateGen575.jpg,SIATURGE,"[174, 173, 224, 194]"
CarLongPlateGen575.jpg,SIATURGE,"[174, 173, 224, 194]"
CarLongPlateGen589.jpg,ARAGANA,"[211, 170, 267, 190]"
CarLongPlateGen625.jpg,DIAGOTAL,"[167, 170, 240, 193]"
CarLongPlateGen661.jpg,616-42661,"[197, 146, 261, 168]"
CarLongPlateGen667.jpg,HUA-U-A-BE,"[181, 143, 246, 164]"
CarLongPlateGen677.jpg,17244111,"[206, 166, 251, 186]"
CarLongPlateGen691.jpg,51G21670,"[200, 193, 262, 216]"
CarLongPlateGen701.jpg,3993,"[238, 129, 307, 154]"
CarLongPlateGen721.jpg,51C-10209,"[242, 132, 294, 155]"
CarLongPlateGen733.jpg,51A-96141,"[239, 181, 313, 204]"
CarLongPlateGen75.jpg,BUSING,"[200, 170, 247, 190]"
CarLongPlateGen757.jpg,6IF-22251,"[271, 137, 331, 158]"
CarLongPlateGen763.jpg,5IF-54011,"[182, 190, 247, 214]"
CarLongPlateGen791.jpg,GREEN,"[264, 140, 309, 161]"
CarLongPlateGen807.jpg,516-47340],"[156, 207, 227, 229]"
CarLongPlateGen819.jpg,51.77522,"[204, 176, 252, 198]"
CarLongPlateGen833.jpg,GIA01204,"[248, 132, 303, 152]"
CarLongPlateGen845.jpg,STATES,"[257, 180, 299, 199]"
CarLongPlateGen859.jpg,610-51332,"[240, 114, 312, 139]"
CarLongPlateGen881.jpg,51F-69259,"[221, 110, 292, 136]"
CarLongPlateGen905.jpg,30V-3993,"[207, 141, 283, 165]"
CarLongPlateGen911.jpg,HOA-35H81,"[214, 93, 281, 114]"
CarLongPlateGen935.jpg,51A55424,"[192, 181, 255, 205]"
CarLongPlateGen945.jpg,61F-35813,"[222, 166, 275, 190]"
CarLongPlateGen961.jpg,511-15585,"[223, 90, 276, 113]"
CarLongPlateGen995.jpg,GIIZ-OSIA,"[225, 169, 276, 190]"
boderngoaigiao1.jpg,80-NG-6,"[257, 168, 322, 206]"
boderngoaigiao5.jpg,41-501-NG-08,"[222, 230, 299, 255]"
boderquandoi1.jpg,ACRIBIS,"[261, 238, 293, 256]"
boderquandoi105.jpg,M,"[306, 361, 330, 385]"
boderquandoi105.jpg,M,"[306, 361, 330, 382]"
boderquandoi15.jpg,BC-25-71,"[189, 278, 226, 299]"
boderquandoi67.jpg,.,"[97, 92, 115, 109]"
boderquandoi75.jpg,BH-54-42,"[190, 404, 249, 429]"
boderquandoi91.jpg,-,"[319, 237, 350, 256]"
boderquandoi91.jpg,M,"[432, 209, 458, 229]"
boderquandoi91.jpg,E,"[238, 158, 265, 175]"
boderquandoi91.jpg,II,"[237, 155, 263, 172]"
brightnessngoaigiao5.jpg,41-501-NG-08,"[218, 299, 344, 340]"
brightnessquandoi109.jpg,011-38-04,"[303, 329, 346, 354]"
brightnessquandoi19.jpg,KP-31-62,"[136, 204, 188, 228]"
brightnessquandoi55.jpg,TH72-20,"[257, 193, 323, 221]"
brightnessquandoi85.jpg,52-43,"[181, 258, 219, 289]"
brightnessquandoi85.jpg,IIII,"[422, 272, 448, 294]"
cropngoaigiao7.jpg,9798,"[833, 231, 893, 305]"
cropngoaigiao7.jpg,6-NG-16,"[0, 65, 65, 129]"
cropquandoi67.jpg,23:66,"[100, 108, 134, 144]"
cropquandoi85.jpg,H,"[162, 353, 201, 384]"
ngoaigiao11.jpg,80-NG-376-14,"[177, 285, 310, 350]"
ngoaigiao11.jpg,29A-439.14,"[41, 157, 103, 190]"
quandoi103.jpg,KC,"[64, 327, 122, 377]"
quandoi45.jpg,TH-49-95,"[147, 273, 213, 308]"
quandoi65.jpg,BH-54-23,"[280, 244, 329, 268]"
quandoi65.jpg,8-52-42,"[460, 239, 493, 259]"
quandoi71.jpg,TH-52-73,"[194, 112, 412, 179]"
quandoi75.jpg,BH-54-42,"[141, 444, 220, 480]"
quandoi83.jpg,BH-52-40,"[342, 296, 399, 323]"
quandoi83.jpg,-,"[548, 307, 598, 334]"
quandoi95.jpg,BH-52-50,"[241, 266, 309, 295]"
quandoi95.jpg,10:38:24,"[499, 290, 536, 311]"
rotatequandoi1.jpg,TH-86-72,"[226, 230, 274, 262]"
rotatequandoi13.jpg,QA-16-05,"[613, 518, 723, 580]"
rotatequandoi27.jpg,KA-74-36,"[203, 211, 262, 247]"
rotatequandoi55.jpg,TH-72-20,"[268, 163, 334, 204]"
rotatequandoi7.jpg,KC-57-04,"[12, 156, 56, 189]"
rotatequandoi97.jpg,BH-52-50,"[1246, 826, 1364, 904]"
xemay1007.jpg,59.M1,"[244, 131, 339, 218]"
xemay1015.jpg,751.98,"[137, 103, 225, 176]"
xemay1037.jpg,696.60,"[230, 92, 335, 187]"
xemay1049.jpg,55613,"[156, 95, 260, 188]"
xemay1061.jpg,194.55,"[143, 101, 242, 184]"
xemay1077.jpg,67-81,"[145, 125, 247, 212]"
xemay109.jpg,598.97,"[146, 90, 242, 174]"
xemay1107.jpg,59.N1,"[164, 123, 262, 205]"
xemay1127.jpg,154.61,"[182, 140, 285, 225]"
xemay113.jpg,59.F1,"[166, 163, 263, 244]"
xemay1157.jpg,54.H3,"[122, 84, 226, 172]"
xemay1167.jpg,54.98,"[139, 101, 243, 193]"
xemay1183.jpg,22155,"[176, 113, 278, 201]"
xemay1207.jpg,62-K8,"[178, 69, 279, 156]"
xemay1211.jpg,10882,"[196, 54, 297, 141]"
xemay1215.jpg,392.72,"[205, 92, 309, 180]"
xemay1233.jpg,51.X9,"[210, 80, 315, 174]"
xemay1259.jpg,674.52,"[132, 63, 230, 146]"
xemay1295.jpg,3244,"[139, 131, 245, 219]"
xemay1317.jpg,93.81,"[170, 18, 270, 110]"
xemay1349.jpg,495.73,"[117, 89, 221, 178]"
xemay1363.jpg,27242,"[163, 86, 263, 172]"
xemay1379.jpg,43017,"[116, 67, 219, 153]"
xemay1401.jpg,54-U3,"[176, 65, 280, 157]"
xemay143.jpg,206.13,"[193, 107, 292, 190]"
xemay1457.jpg,415.16,"[151, 220, 251, 299]"
xemay1501.jpg,62-N1,"[175, 32, 265, 110]"
xemay1511.jpg,59-11,"[194, 129, 289, 212]"
xemay1521.jpg,0050,"[165, 59, 267, 148]"
xemay1525.jpg,59.M1,"[194, 123, 280, 196]"
xemay1551.jpg,65-L1,"[222, 78, 326, 173]"
xemay1561.jpg,59-K1,"[190, 136, 294, 227]"
xemay1569.jpg,0133,"[141, 51, 236, 130]"
xemay1591.jpg,677.90,"[158, 98, 262, 185]"
xemay1599.jpg,26685,"[166, 198, 267, 281]"
xemay1613.jpg,59-11,"[180, 159, 280, 243]"
xemay1627.jpg,59-VZ,"[238, 157, 330, 239]"
xemay1651.jpg,219.26,"[189, 0, 286, 82]"
xemay1665.jpg,B146,"[258, 137, 348, 223]"
xemay1671.jpg,59-P2,"[169, 156, 262, 232]"
xemay1679.jpg,59.11,"[226, 107, 331, 203]"
xemay1683.jpg,51R3,"[185, 131, 293, 221]"
xemay1689.jpg,175.61,"[189, 124, 286, 206]"
xemay1693.jpg,79-H3,"[148, 115, 254, 205]"
xemay1699.jpg,52-M9,"[175, 71, 282, 162]"
xemay1713.jpg,58447,"[120, 143, 213, 218]"
xemay1723.jpg,59-E1,"[169, 97, 271, 183]"
xemay1735.jpg,52-Y6,"[159, 71, 256, 159]"
xemay1757.jpg,59-F1,"[159, 148, 231, 205]"
xemay1763.jpg,138.60,"[157, 89, 237, 147]"
xemay1791.jpg,832-37,"[186, 116, 259, 177]"
xemay1803.jpg,59-11,"[241, 122, 318, 190]"
xemay1817.jpg,60-87,"[162, 103, 235, 164]"
xemay1845.jpg,87515,"[159, 106, 224, 158]"
xemay1859.jpg,33202,"[193, 130, 245, 172]"
xemay1869.jpg,8964,"[240, 88, 298, 134]"
xemay1899.jpg,59P1,"[155, 156, 218, 196]"
xemay1929.jpg,16711,"[183, 119, 255, 179]"
xemay1941.jpg,737231,"[204, 142, 252, 176]"
xemay1959.jpg,55-X1,"[229, 143, 285, 193]"
xemay1983.jpg,366.38,"[132, 96, 190, 140]"
xemay1999.jpg,36423,"[249, 170, 303, 211]"
xemay2021.jpg,28032,"[189, 181, 240, 220]"
xemay2031.jpg,9591,"[157, 120, 221, 172]"
xemay2055.jpg,60529,"[161, 113, 220, 157]"
xemay207.jpg,297.29,"[209, 119, 306, 205]"
xemay2089.jpg,18589,"[236, 114, 289, 156]"
xemay2095.jpg,59-V14,"[215, 137, 267, 181]"
xemay2119.jpg,175.50,"[177, 93, 226, 140]"
xemay2123.jpg,78848,"[226, 183, 281, 226]"
xemay215.jpg,200.23,"[184, 159, 278, 241]"
xemay217.jpg,28032,"[170, 136, 274, 224]"
xemay2179.jpg,64417,"[215, 122, 277, 161]"
xemay221.jpg,129.03,"[130, 126, 228, 208]"
xemay2237.jpg,766.N1,"[185, 216, 248, 270]"
xemay2253.jpg,03055,"[233, 185, 292, 229]"
xemay2271.jpg,TAKS,"[230, 150, 278, 187]"
xemay231.jpg,59-X1,"[167, 171, 270, 255]"
xemay2339.jpg,43840,"[133, 119, 184, 155]"
xemay2363.jpg,3670,"[170, 113, 229, 166]"
xemay2367.jpg,67791,"[225, 166, 306, 216]"
xemay2379.jpg,3.79.21,"[173, 75, 227, 118]"
xemay2395.jpg,312.15,"[226, 188, 306, 250]"
xemay2415.jpg,RR,"[144, 128, 193, 164]"
xemay2433.jpg,52-U6,"[132, 114, 194, 152]"
xemay2471.jpg,97457,"[176, 158, 251, 212]"
xemay29.jpg,30541,"[229, 112, 319, 195]"
xemay307.jpg,227.67,"[190, 125, 295, 212]"
xemay345.jpg,B101,"[167, 93, 247, 163]"
xemay35.jpg,695.75,"[165, 138, 254, 211]"
xemay37.jpg,15723,"[153, 47, 245, 126]"
xemay377.jpg,217.04,"[125, 131, 222, 214]"
xemay393.jpg,59.18,"[175, 114, 252, 181]"
xemay401.jpg,61.01,"[156, 120, 256, 202]"
xemay415.jpg,3664,"[166, 148, 265, 228]"
xemay435.jpg,59.P1,"[205, 162, 307, 248]"
xemay445.jpg,72-K1,"[161, 106, 257, 189]"
xemay451.jpg,83.H6,"[161, 66, 254, 147]"
xemay461.jpg,3211,"[181, 65, 274, 145]"
xemay485.jpg,370.11,"[178, 64, 279, 151]"
xemay491.jpg,59.C1,"[201, 60, 278, 125]"
xemay5.jpg,59-T1,"[164, 44, 254, 123]"
xemay531.jpg,55-P6,"[176, 118, 283, 208]"
xemay547.jpg,59-11,"[215, 139, 313, 222]"
xemay557.jpg,43-01,"[235, 163, 332, 246]"
xemay573.jpg,59-E1,"[145, 75, 239, 155]"
xemay619.jpg,438.20,"[166, 88, 271, 177]"
xemay633.jpg,61776,"[162, 34, 251, 114]"
xemay647.jpg,59.93,"[236, 67, 338, 160]"
xemay657.jpg,54-R2,"[208, 106, 306, 191]"
xemay691.jpg,63-82,"[193, 97, 297, 185]"
xemay713.jpg,59-X1,"[159, 67, 248, 145]"
xemay75.jpg,59.34,"[177, 149, 260, 220]"
xemay759.jpg,52.F3,"[151, 100, 252, 186]"
xemay771.jpg,713.64,"[167, 47, 256, 125]"
