plate_text,plate_count,detection_count,max_confidence,bbox_summary,raw_plate_text,high_conf_detection,all_unique_plates,unique_plate_count,frame_plate_text
"[""59X-298517"", ""54T-146.98"", ""51F-814.75"", ""63-54198L""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""54-T1\n4698"", ""51F\n814.75"", ""63-54\n198L""]",False,"[""59X-298517"", ""54T-146.98"", ""51F-814.75"", ""63-54198L""]","[1, 1, 1, 1]","[""59X-298517"", ""54T-146.98"", ""51F-814.75"", ""63-54198L""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""6354198L""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698"", ""63\u00b754\n198L""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""6354198L""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""6354198L""]"
"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""6354198L""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-71\n4698"", ""63\u00b754\n198L""]",False,"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""6354198L""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54-714698"", ""6354198L""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63SL-1984""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698"", ""63 SL\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63SL-1984""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63SL-1984""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63-541984""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698"", ""63-54\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63-541984""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63-541984""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""6354198L""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698"", ""63\u00b754\n198L""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""6354198L""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""6354198L""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63SL-1984""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698"", ""63\u00b7SL\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63SL-1984""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63SL-1984""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63S-219.84""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698"", ""63\u00b7S2\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63S-219.84""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63S-219.84""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63SL-1984""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698"", ""63 SL\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63SL-1984""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63SL-1984""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""785163-52""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698"", ""7851 63-52""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""785163-52""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""785163-52""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98""]"
"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-T1\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54T-146.98"", ""51F-814.75""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63SL-1981""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698"", ""63\u00b7SL\n198L""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63SL-1981""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63SL-1981""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""93S-419.84""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698"", ""93-S4\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""93S-419.84""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""93S-419.84""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""3-SL984""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n98517"", ""51F\n814.75"", ""54-T1\n4698"", ""3-SL\n984""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""3-SL984""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""3-SL984""]"
"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n98517"", ""54-T1\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54T-146.98"", ""51F-814.75""]"
"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n98517"", ""54-T1\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54T-146.98"", ""51F-814.75""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]",3,0.0,,"[""59-X2\n98517"", ""51F\n814.75"", ""54-T1\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]",3,0.0,,"[""59-X2\n98517"", ""51F\n814.75"", ""54-T1\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]",3,0.0,,"[""59-X2\n98517"", ""51F\n814.75"", ""54-T1\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98""]"
"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-T1\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54T-146.98"", ""51F-814.75""]"
"[""59X-298517"", ""54-114698"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-11\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54-114698"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54-114698"", ""51F-814.75""]"
"[""59X-298517"", ""54-114698"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-11\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54-114698"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54-114698"", ""51F-814.75""]"
"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-T1\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54T-146.98"", ""51F-814.75""]"
"[""59X-298517"", ""54-114698"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-11\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54-114698"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54-114698"", ""51F-814.75""]"
"[""59X-298517"", ""54-114698"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-11\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54-114698"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54-114698"", ""51F-814.75""]"
"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-T1\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54T-146.98"", ""51F-814.75""]"
"[""59X-298517"", ""54-714698"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-71\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54-714698"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54-714698"", ""51F-814.75""]"
"[""59X-298517"", ""54-714698"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-71\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54-714698"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54-714698"", ""51F-814.75""]"
"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-T1\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54T-146.98"", ""51F-814.75""]"
"[""59X-298517"", ""54-714698"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-71\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54-714698"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54-714698"", ""51F-814.75""]"
"[""59X-298517"", ""54-714698"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-71\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54-714698"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54-714698"", ""51F-814.75""]"
"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-T1\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54T-146.98"", ""51F-814.75""]"
"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-T1\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54T-146.98"", ""51F-814.75""]"
"[""59X-298517"", ""54-714698"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-71\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54-714698"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54-714698"", ""51F-814.75""]"
"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-T1\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54T-146.98"", ""51F-814.75""]"
"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-T1\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54T-146.98"", ""51F-814.75""]"
"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-T1\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54T-146.98"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54T-146.98"", ""51F-814.75""]"
"[""59X-298517"", ""54-114698"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-11\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54-114698"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54-114698"", ""51F-814.75""]"
"[""59X-298517"", ""51F-814.75"", ""54-114698""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-11\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54-114698""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54-114698""]"
"[""59X-298517"", ""54-114698"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-11\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54-114698"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54-114698"", ""51F-814.75""]"
"[""59X-298517"", ""54-714698"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-71\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54-714698"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54-714698"", ""51F-814.75""]"
"[""59X-298517"", ""54-714698"", ""51F-814.75"", ""59N412""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""54-71\n4698"", ""51F\n814.75"", ""59 N\n412""]",False,"[""59X-298517"", ""54-714698"", ""51F-814.75"", ""59N412""]","[1, 1, 1, 1]","[""59X-298517"", ""54-714698"", ""51F-814.75"", ""59N412""]"
"[""59X-298517"", ""54T-146.98"", ""51F-814.75"", ""59N-241.21""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""54-T1\n4698"", ""51F\n814.75"", ""59-N2\n4121""]",False,"[""59X-298517"", ""54T-146.98"", ""51F-814.75"", ""59N-241.21""]","[1, 1, 1, 1]","[""59X-298517"", ""54T-146.98"", ""51F-814.75"", ""59N-241.21""]"
"[""59X-298517"", ""54-114698"", ""51F-814.75"", ""59N-241.29""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""54-11\n4698"", ""51F\n814.75"", ""59-N2\n412.9""]",False,"[""59X-298517"", ""54-114698"", ""51F-814.75"", ""59N-241.29""]","[1, 1, 1, 1]","[""59X-298517"", ""54-114698"", ""51F-814.75"", ""59N-241.29""]"
"[""59X-298517"", ""51F-814.75"", ""64-774698"", ""59NZ-412.95""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""64-77\n4698"", ""59-NZ\n41295""]",False,"[""59X-298517"", ""51F-814.75"", ""64-774698"", ""59NZ-412.95""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""64-774698"", ""59NZ-412.95""]"
"[""59X-298517"", ""64-114698"", ""59N-241295"", ""51F-814.75""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""64-11\n4698"", ""59-N2\n41295"", ""51F\n814.75""]",False,"[""59X-298517"", ""64-114698"", ""59N-241295"", ""51F-814.75""]","[1, 1, 1, 1]","[""59X-298517"", ""64-114698"", ""59N-241295"", ""51F-814.75""]"
